motion_id,sha256,frames,fps,duration_s,raw_step_rad,raw_speed_rad_s,raw_acceleration_rad_s2,raw_jerk_rad_s3,raw_acceleration_p99_rad_s2,raw_position_excess_rad,raw_speed_violating_intervals,export_speed_clamp_fraction,fast_reversal_samples,fast_reversal_frames,gmr_limited_joints,gmr_limited_joint_limits,gmr_limited_collision_frames_adjusted,v2_speed_rad_s,v2_acceleration_rad_s2,v2_jerk_rad_s3,v2_speed_bad_segments,v2_acceleration_bad_segments,worst_acceleration_joint,worst_acceleration_time_s,v2_position_excess_rad,v2_jerk_jump_rad_s3,root_speed_m_s,root_acceleration_m_s2,root_jerk_m_s3,root_angular_speed_rad_s,root_angular_acceleration_rad_s2,root_speed_violation,root_angular_speed_violation
gPO_sBM_cAll_d10_mPO3_ch02,5ae8636df393411d317b595f95021ed63748be9455842e968749ff5f3569d445,524,60.0,8.716666666666667,0.15527990821533066,9.31679449291984,162.93766437650166,4570.029971713342,107.54332786033112,0.0,0,0.0,0,0,451,2,0,9.327778981130164,201.0109163046932,9302.07370591461,0,0,right_elbow,0.0,0.0,3859.9642730470696,1.048641601908144,67.2374900163667,6456.581726902041,4.9453294478387395,234.9213312545082,False,False
gPO_sBM_cAll_d11_mPO0_ch01,2b09ff4da0befa9eb9cb2cc2127c3570908acd2b2c7ad5391e9529943a923990,720,60.0,11.983333333333333,0.15487972698211827,9.292783618927096,135.66894269998016,5750.614761324135,27.450354037228994,0.0,0,0.0,0,0,48,0,0,9.30696904507284,201.17713088662344,13759.256797352711,0,0,left_shoulder_pitch,0.0,0.0,1785.3115936018503,0.4228737623322012,27.924368885204135,3324.344374870154,2.934302145011376,208.29648544820682,False,False
gPO_sBM_cAll_d11_mPO0_ch02,d71577fbbc039b5f69f2266f10d7c8abd6183a516d8d6689ce6c26f9d115eb07,720,60.0,11.983333333333333,0.1105982758872982,6.635896553237892,93.63712940577912,4303.939097624045,37.00701938209825,0.0,0,0.0,0,0,14,0,0,6.689237704963032,156.4278968975757,7891.612044668069,0,0,right_shoulder_yaw,0.0,0.0,782.8819502221012,0.7072602033219494,58.82917855569125,6712.609390144847,3.607106508198669,214.22646289813625,False,False
gPO_sBM_cAll_d11_mPO1_ch01,b075eedffa461f22390865cadde15eb8c0afee2f119b9ba5a6352e8f924bd751,640,60.0,10.65,0.1543224920545807,9.259349523274842,139.2790981969837,4281.045870144455,70.33637085559272,0.0,0,0.0,0,0,103,0,0,9.307316334666636,170.74375792116834,11369.161506825276,0,0,left_wrist_yaw,0.0,0.0,3299.470274700778,0.649655555105765,25.162590788037054,2890.9312255946625,6.00783420013917,306.8511096926123,False,False
gPO_sBM_cAll_d11_mPO1_ch02,a65070f296404cabffc05a2eff1d5098aec482da8afdf73a61d6b2951ad179f6,640,60.0,10.65,0.15679153016737002,9.4074918100422,169.81291874122925,4529.822680585077,98.12557182965975,0.0,0,0.0,0,0,424,1,0,9.418268653148798,172.756914615195,9302.477938002323,0,0,right_hip_pitch,5.059543398724825,0.0,3804.055393865264,1.001866075285361,62.020173193835454,7180.817652017485,5.899026738013935,492.5694607968131,False,False
gPO_sBM_cAll_d11_mPO1_ch03,38e2243973b7725b0aeb4f220d24c07682656061fec768e26740d21bf059f7da,640,60.0,10.65,0.15130804812103904,9.078482887262343,133.8360854130805,4986.349856777085,62.27732772912942,0.0,0,0.0,0,0,70,13,0,9.226792439350033,195.58075848369185,9349.615543909184,0,0,right_hip_yaw,0.0,0.0,6776.755220338547,0.8883909153070383,46.38019485426509,5414.800988053704,11.166748425168771,717.1023377806538,False,False
gPO_sBM_cAll_d11_mPO1_ch04,f11fd6601fdc1f16bb3900ecd22142b85257d809ff0ad3b4072d02dd884fe137,640,60.0,10.65,0.13656944387307762,8.194166632384658,113.80262286169315,4639.93212682726,43.193206164225174,0.0,0,0.0,0,0,28,0,0,8.22924069025144,207.77277250224424,8524.860758585433,0,0,left_shoulder_pitch,0.0,0.0,1195.6667542797763,0.2901581725781746,20.43203108343691,2291.6164271926236,2.9671099916601262,242.2510722297686,False,False
gPO_sBM_cAll_d11_mPO1_ch05,0803aaf376e12a8adc1563cb2eb7db929a5bc6b8509b5ebbc8a477c4a41748bc,640,60.0,10.65,0.15696392064386744,9.417835238632046,151.6200037793829,4023.4978791671724,69.81270966270631,0.0,0,0.0,0,0,125,0,0,9.423123236511454,155.4724279855501,8858.920348937481,0,0,right_shoulder_yaw,5.489478189621014,0.0,3497.3230480621046,0.6756058011727026,24.836941033316144,2865.1019945987896,2.9797412629851125,287.21153579369764,False,False
gPO_sBM_cAll_d11_mPO1_ch06,61c6b7a0b9a5b73117065eda237492b8f01b71f35f247ad9b6043f7204bd741c,640,60.0,10.65,0.15430790076161838,9.258474045697103,144.0919074842105,3279.3331515462646,70.53242540051242,0.0,0,0.0,0,0,75,0,0,9.303504666648044,147.63355636384242,5522.570974479147,0,0,left_elbow,1.1760590208297321,0.0,2825.6505262828177,0.7028093135452531,59.83762635789125,6602.397223542101,10.412916727846923,364.49374823358716,False,False
gPO_sBM_cAll_d11_mPO1_ch07,c38ea865c0431dc7288382ffeedd5b9dfd02ce0f2f732ca4c3b770992e83bd32,640,60.0,10.65,0.15497340221063682,9.29840413263821,178.03630277450435,4656.6431825803265,94.50473651023425,5.354265919521595e-10,0,0.0,0,0,494,6,0,9.331965264604891,196.34822977567643,8870.436794947658,0,0,right_shoulder_yaw,0.0,2.9488176345182637e-09,3405.6203538769,0.6730010860240182,37.952781218819844,4136.791449910858,6.473295948559123,399.8644669389039,False,False
gPO_sBM_cAll_d11_mPO1_ch08,c89eabcb20b338fc638d154b14082b5c25028ffc4216f4655473869c8bccd42a,640,60.0,10.65,0.1537336502112897,9.224019012677383,136.5743764658995,5177.43943882109,56.52547261488419,0.0,0,0.0,0,0,78,0,0,9.255159513170442,139.52463870236508,8640.2371186721,0,0,left_elbow,0.06666666666666667,0.0,1619.471982065081,1.0560525954968336,56.59277885978151,6700.5694486005295,9.702532947858625,405.39814453851784,False,False
